course_code,rubric_file,semester_code,source
ACCT1102,ACCT1102/ACCT1102 A2 Rubric.pdf,7660,pull:S1+S2
ACCT1110,ACCT1110/ACCT1110-Assessment 1 Rubric.pdf,7620,pull:S1
ACCT1112,ACCT1112/ACCT1112_Group Assignment Marking Rubric.pdf,7660,pull:S2
ACCT3101,ACCT3101/ACCT3101_AoL_gradebook_rubric_note_15Sep2026.md,7660,note:S2 2026
ACCT3103,ACCT3103/ACCT3103 - Assessment AoL Rubric.pdf,7660,pull:S2
ACCT3104,ACCT3104/ACCT3104_AoL_gradebook_rubric_note_15Sep2026.md,7660,note:S2 2026
ACCT3106,ACCT3106/Stage2 ACCT3106 A2 - AoLRubricDRAFT.docx,7660,pull:S2
ACCT7804,ACCT7804/ACCT7804_AoL_gradebook_rubric_note_15Sep2026.md,7620,note:S1 2026
BISM2207,BISM2207/BISM2207 rubric.pdf,7660,pull:S2
BISM7202,BISM7202/BISM 7202 Rubric Excel assignment.pdf,7620,pull:S1
BISM7206,BISM7206/BISM7206 A2 Rubric S2.pdf,7660,pull:S2
BISM7208,BISM7208/BISM7208_A3_Rubric.pdf,7660,pull:S2
BISM7221,BISM7221/BISM7221 Report - Business Consulting Report Assessment Rubric 2026S1.pdf,7620,pull:S1
BSAN7206,BSAN7206/BSAN7206_A1_Rubric.pdf,7660,pull:S2
BSAN7208,BSAN7208/BSAN7208_A2_Rubric.pdf,7660,pull:S2
BSAN7209,BSAN7209/BSAN7209_A2_Rubric.pdf,7660,pull:S2
BSAN7209,BSAN7209/BSAN7209_A3_Rubric.pdf,7660,pull:S2
EIBS7300,EIBS7300/[EIBS7300] Assessment 1_Rubric_2026.pdf,7620,pull:S1
EIBS7301,EIBS7301/EIBS7301 A3 Hackathon rubric.pdf,7620,pull:S1
EIBS7303,EIBS7303/A1 - Rubric for In-Class Activities.pdf,7660,pull:S2
EIBS7303,EIBS7303/A2 - Rubric for Group Report.pdf,7660,pull:S2
EIBS7303,EIBS7303/A3 - Rubric for Individual Reflection.pdf,7660,pull:S2
EIBS7304,EIBS7304/EIBS7304_Assessment 2_Wellbeing Polarity Map_Rubric_GA6 Respectful Leaders.pdf,7660,pull:S2
FINM2415,FINM2415/FINM2415-Group Assignment-Marking Rubric.pdf,7660,pull:S2
FINM3405,FINM3405/Group Assignment Marking Rubric.pdf,7660,pull:S2
FINM3422,FINM3422/AoL mapped FINM3422 A1-VantageCaseStudyRubric.pdf,7620,pull:S1
FINM7101,FINM7101/FINM7101-A1 Rubric AoL 2026.pdf,7620,pull:S1
FINM7102,FINM7102/AoL GA3 FINM7102-A1 Rubric FINAL.pdf,7620,pull:S1
FINM7103,FINM7103/FINM7103_S1 2026_A3_Rubric.pdf,7620,pull:S1
FINM7104,FINM7104/FINM7104 A2 AoL Rubric.pdf,7620,pull:S1
FINM7106,FINM7106/FINM7106 A3 Group presentation AoL Rubric 2026.pdf,7660,pull:S2
FINM7108,FINM7108/FINM7108-A4 Reflection Rubric.pdf,7620,pull:S1
FINM7402,FINM7402/2 FINM7402 Marking Rubric.pdf,7660,pull:S2
FINM7407,FINM7407/FINM7407_S2 2026_A2_AoL Rubric.pdf,7660,pull:S2
FINM7409,FINM7409/Rubric - Investment Proposal Report.pdf,7620,pull:S1
HOSP2006,HOSP2006/Ind_Reflection_HOSP2006.pdf,7660,pull:S2
HOSP3000,HOSP3000/HOSP3000 A1_TaskDescriptionRubric.pdf,7660,pull:S2
HOSP3004,HOSP3004/HOSP3004-Report Rubric.docx,7660,pull:S2
HOSP3005,HOSP3005/HOSP3005 Reflective YouTube Vlog Rubric.docx,7660,pull:S2
HOSP7050,HOSP7050/HOSP7050_AoL_gradebook_rubric_note_15Sep2026.md,7620,note:S1 2026
HOSP7051,HOSP7051/HOSP7051_AoL_gradebook_rubric_note_15Sep2026.md,7660,note:S2 2026
IBUS2301,IBUS2301/Rubric (Company Pitches).docx,7660,pull:S2
IBUS3310,IBUS3310/IBUS3310 Team Presentation Rubric.pdf,7660,pull:S2
IBUS4301,IBUS4301/IBUS4301 Discussion Outline and Rubric.pdf,7660,pull:S2
IBUS7302,IBUS7302/IBUS7302_AoL_gradebook_rubric_note_15Sep2026.md,7660,note:S2 2026
IBUS7312,IBUS7312/IBUS7312 Rubric - A3.pdf,7660,pull:S2
MGTS2604,MGTS2604/MGTS2604_Assessment%20One%20Research%20Essay%20Marking%20Rubric.pdf,7660,pull:S1+S2
MGTS2607,MGTS2607/MGTS2607_A2_Rubric_GA4.docx,7660,pull:S2
MGTS3609,MGTS3609/MGTS3609%20A2%20Groupwork%20RUBRIC.docx,7660,pull:S1+S2
MGTS4603,MGTS4603/MGTS4603_A1_Rubric_GA5.pdf,7620,pull:S1
MGTS4603,MGTS4603/MGTS4603_A2_Rubric_GA1.pdf,7620,pull:S1
MGTS7301,MGTS7301/MGTS7301 Assessment 3 Business Tools For Making Decisions rubric.pdf,7620,pull:S1
MGTS7308,MGTS7308/MGTS7308 Assessment 1_Outline and Rubric.pdf,7620,pull:S1
MGTS7523,MGTS7523/MGTS7523 Assessment 2 - Rubric (Presentation).pdf,7660,pull:S2
MGTS7527,MGTS7527/MGTS7527 A1 Rubric.pdf,7660,pull:S2
MGTS7604,MGTS7604/MGTS7604 A3 Pitch.pdf,7660,pull:S2
MGTS7605,MGTS7605/MGTS7605_Assessment%202_Marking%20Rubric_TEAM%20REPORT.pdf,7620,pull:S1
MGTS7608,MGTS7608/Assessment 2 rubric - Individual stakeholder and ethics analysis.pdf,7620,pull:S1
MGTS7610,MGTS7610/AoL Assessment rubric by assignment MGTS7610.pdf,7620,pull:S1
MGTS7812,MGTS7812/MGTS7812_A2_Rubric_GA4.docx,7620,pull:S1
MKTG7505,MKTG7505/MKTG7505_A1_Rubric_GA5.docx,7660,pull:S2
TIMS1301,TIMS1301/TIMS1301 A1 rubric.pdf,7660,pull:S2
TIMS3309,TIMS3309/TIMS3309_Assessment 2_2026(1).pdf,7660,pull:S2
TIMS7317,TIMS7317/TIMS7317 2026 S1 A3 Rubric.pdf,7620,pull:S1
TIMS7317,TIMS7317/TIMS7317 A2 Rubric.pdf,7620,pull:S1
TIMS7328,TIMS7328/TIMS7328 A3 Rubric.pdf,7660,pull:S2
TIMS7334,TIMS7334/TIMS7334 A2 Rubric.pdf,7660,pull:S2
TOUR1000,TOUR1000/TOUR1000 2026 S1 Assessment 2 Rubric with AoL - V02.pdf,7620,pull:S1
TOUR1002,TOUR1002/TOUR1002 A3 Rubric.docx,7660,pull:S2
TOUR1003,TOUR1003/TOUR1003 Ass2 Stakeholder Meeting Rubric.pdf,7620,pull:S1
TOUR1004,TOUR1004/TOUR1004_Assessment_3_Marking_Criteria_S2_2026.pdf,7660,pull:S2
TOUR7021,TOUR7021/TOUR7021 – Service Experience Pitch – Marking Rubric.docx,7620,pull:S1
TOUR7023,TOUR7023/A2-TOUR7023 Rubric.pdf,7620,pull:S1
TOUR7031,TOUR7031/TOUR7031 - Rubric.pdf,7620,pull:S1
TOUR7032,TOUR7032/TOUR7032 Assessment 3- marking criteria.xlsx,7620,pull:S1
TOUR7053,TOUR7053/2026_TOUR7053_A1 Rubric.pdf,7620,pull:S1
