semester_code,course_code,ga,assessment_title,status,rubric_url,notes
7660,ACCT1101,GA1,"A3 Final Exam, short-answer questions (individual, invigilated)",Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/ACCT1101/ACCT1101_A3_Rubric_GA1.docx,
7660,ACCT1102,GA5,A2 Group Assignment (20%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/ACCT1102/ACCT1102%20A2%20Rubric.pdf,
7620,ACCT1110,GA1,A1 Tutorial Preparation Tasks (20%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/ACCT1110/ACCT1110-Assessment%201%20Rubric.pdf,
7660,ACCT1112,GA2,Group Assignment: Case Study,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/ACCT1112/ACCT1112_Group%20Assignment%20Marking%20Rubric.pdf,
7660,ACCT3101,GA5,Group Assignment,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/ACCT3101/ACCT3101_AoL_gradebook_rubric_note_15Sep2026.md,
7660,ACCT3103,GA5,Individual Video Presentation (20%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/ACCT3103/ACCT3103%20-%20Assessment%20AoL%20Rubric.pdf,
7660,FINM1416,GA3,"A1 Workshop group reports, with individual marks through peer assessment. GA3 splits across Workshop 1 (Community Understanding, Collaboration) and Workshop 2 (Social Impact)",Active,,
7660,ACCT3104,GA1,A2,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/ACCT3104/ACCT3104_AoL_gradebook_rubric_note_15Sep2026.md,
7660,ACCT3106,GA2,A2 Financial Analysis and Valuation (20%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/ACCT3106/Stage2%20ACCT3106%20A2%20-%20AoLRubricDRAFT.docx,
7620,ACCT7804,GA5,A1 Corporate Analysis Briefing,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/ACCT7804/ACCT7804_AoL_gradebook_rubric_note_15Sep2026.md,
